pluie_moyenne,besoin_eau,superficie,mois_semis,sol_type,type_irrigation,type_engrais,saison,categorie_culture,sol_inadapte,deficit_hydrique,_rendement_reel
624.5071229516849,500,5.050485358529299,6,Deck-Dior,Aucune,Minéral NPK,Hivernage,Légumineuse,0,0,1318.51988957976
529.2603548243223,500,3.4546009329258003,5,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1120.7533432104478
647.1532807151038,500,1.729278545722047,6,Latéritique,Aucune,Minéral NPK,Hivernage,Légumineuse,1,0,1302.9868037308192
778.4544784612037,500,0.9826036720647451,5,Deck,Aucune,Aucun,Hivernage,Légumineuse,0,0,1202.6116198672778
514.8769937914996,500,2.882271362624272,7,Deck-Dior,Aucune,Organique,Hivernage,Légumineuse,0,0,977.4955567145169
514.879456457623,500,2.2586974743125703,7,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1425.7809049363211
786.8819223261087,500,3.3741875722789345,5,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1331.5801128213866
665.1152093729363,500,2.7404919315456224,7,Dior,Aucune,Minéral NPK,Hivernage,Légumineuse,0,0,1685.99377998865
479.5788421097572,500,3.8176771901098734,6,Dior,Aucune,Organique,Hivernage,Légumineuse,0,1,797.2992980464508
631.3840065378947,500,1.074453145999699,6,Deck,Aucune,Minéral NPK,Hivernage,Légumineuse,0,0,2120.2806847362936
480.48734607813066,500,4.729952936751258,5,Dior,Aucune,Organique,Hivernage,Légumineuse,0,1,955.9902486639
480.1405369644615,500,1.9310804863512006,6,Deck,Goutte-à-goutte,Organique,Hivernage,Légumineuse,0,0,1291.6694859112881
586.2943407349051,500,8.672947497267845,6,Latéritique,Aucune,Minéral Urée,Hivernage,Légumineuse,1,0,1044.6095090942051
263.00796330133034,500,0.9499458894611864,6,Deck,Aucune,Aucun,Hivernage,Légumineuse,0,1,761.3821644939613
291.26232512304506,500,6.611238755160191,5,Dior,Aucune,Aucun,Hivernage,Légumineuse,0,1,773.9023481428769
465.6568706138541,500,1.9315612751940243,5,Latéritique,Aucune,Organique,Hivernage,Légumineuse,1,1,376.06432512776433
398.0753319498364,500,0.9790873635531291,6,Dior,Aucune,Aucun,Hivernage,Légumineuse,0,1,701.5983373380748
597.1370998892911,500,1.1195102722431323,6,Deck,Aucune,Aucun,Hivernage,Légumineuse,0,0,1053.6917537394183
413.79638867181836,500,1.2759897518751566,6,Deck-Dior,Aspersion,Minéral NPK,Hivernage,Légumineuse,0,0,2104.518915222041
338.1544447997063,500,2.3148219129356664,6,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,1,835.6766940435031
769.8473153382331,500,2.5049490385267714,7,Dior,Gravitaire,Organique,Hivernage,Légumineuse,0,0,991.9109481804767
516.1335549270196,500,1.0418937771803294,7,Deck,Aucune,Mixte,Hivernage,Légumineuse,0,0,1674.4472142709237
560.1292307031886,500,1.6169090391876235,6,Latéritique,Aucune,Organique,Hivernage,Légumineuse,1,0,981.3545496040758
336.28777206798145,500,9.150571047377525,7,Dior,Aucune,Minéral Urée,Hivernage,Légumineuse,0,1,699.8386720701479
468.3425913212226,500,6.5668517770734605,6,Dior,Aucune,Aucun,Hivernage,Légumineuse,0,1,798.7388736602554
566.6383884564799,500,2.3374461295638054,6,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1263.209784172875
377.3509633866546,500,1.6996167467104637,6,Deck,Aucune,Minéral Urée,Hivernage,Légumineuse,0,1,756.8993050508836
606.3547027518508,500,1.8148903658002318,6,Deck-Dior,Aucune,Organique,Hivernage,Légumineuse,0,0,1151.1633039477065
459.9041965121793,500,2.6934270476640427,7,Latéritique,Gravitaire,Minéral NPK,Hivernage,Légumineuse,1,0,1071.268877139085
506.2459375310085,500,0.727432511338909,6,Deck,Goutte-à-goutte,Organique,Hivernage,Légumineuse,0,0,1197.749488156194
459.74400816559046,500,1.3419164382905386,6,Latéritique,Aucune,Aucun,Hivernage,Légumineuse,1,1,557.627050092822
827.8417276763407,500,0.5,6,Dior,Aucune,Organique,Hivernage,Légumineuse,0,0,1203.502485993399
547.9754162893099,500,2.26908915594967,5,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1175.0677959706995
391.34336065661495,500,2.7669807720659447,7,Sablonneux,Aucune,Minéral Urée,Hivernage,Légumineuse,0,1,674.2198754291859
673.3817368154783,500,1.120136810591102,6,Deck-Dior,Aucune,Aucun,Hivernage,Légumineuse,0,0,1145.0660078134647
366.8734525043467,500,5.80772780347871,6,Sablonneux,Aucune,Mixte,Hivernage,Légumineuse,0,1,1166.2930633266064
581.3295392507133,500,0.6184044842245391,6,Dior,Aucune,Mixte,Hivernage,Légumineuse,0,0,1595.5184913692572
256.0494814180337,500,0.5109416392689148,6,Deck-Dior,Aucune,Aucun,Hivernage,Légumineuse,0,1,575.1650109634305
350.7720926652354,500,1.973012287502458,5,Deck,Gravitaire,Organique,Hivernage,Légumineuse,0,0,1600.6287835166775
579.5291853803685,500,3.810188420402678,6,Sablonneux,Aucune,Minéral Urée,Hivernage,Légumineuse,0,0,1163.122200504351
660.7699869993115,500,6.34167007903379,6,Deck-Dior,Gravitaire,Mixte,Hivernage,Légumineuse,0,0,2025.4941097371116
575.7052421784956,500,1.142127315510253,6,Dior,Aucune,Organique,Hivernage,Légumineuse,0,0,1489.364095151912
532.652757641764,500,3.90768320130327,7,Latéritique,Aucune,Organique,Hivernage,Légumineuse,1,0,837.4093697738361
504.83444566160665,500,1.5987038775088283,7,Latéritique,Aucune,Organique,Hivernage,Légumineuse,1,0,876.4371428129593
328.22170144488587,500,1.4360526869755252,6,Dior,Aucune,Minéral NPK,Hivernage,Légumineuse,0,1,770.4791418217152
442.02336874079367,500,3.3431983880356193,6,Dior,Aucune,Aucun,Hivernage,Légumineuse,0,1,696.2756991460963
480.90418435603186,500,2.7783529906560043,5,Latéritique,Aucune,Minéral NPK,Hivernage,Légumineuse,1,1,715.1042197231012
708.5683339328374,500,0.5,6,Deck-Dior,Aucune,Aucun,Hivernage,Légumineuse,0,0,920.0327279085764
601.5427434352692,500,5.372171912765851,6,Latéritique,Aucune,Aucun,Hivernage,Légumineuse,1,0,865.3064817325793
285.5439766955899,500,4.973247679397604,6,Dior,Aucune,Organique,Hivernage,Légumineuse,0,1,730.885435845639
598.6125954092192,500,0.9995499400997307,6,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1207.4317420057391
492.2376579375525,500,2.2628901568688753,5,Deck,Aucune,Organique,Hivernage,Légumineuse,0,1,832.0131610550903
448.46169995410617,500,2.4478844188813595,6,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,1,756.1193596036404
641.7514433261301,500,2.0310217928705625,5,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1466.0529417041598
704.6499283743926,500,1.0615773593791222,6,Dior,Aucune,Aucun,Hivernage,Légumineuse,0,0,1021.1538871930735
689.6920178674297,500,0.9633883337162702,6,Latéritique,Gravitaire,Organique,Hivernage,Légumineuse,1,0,1028.5517945634142
424.11737151660424,500,1.6153582249728105,5,Deck-Dior,Aucune,Mixte,Hivernage,Légumineuse,0,1,1020.77137810216
503.6181436223178,500,4.213034683288673,6,Sablonneux,Aucune,Organique,Hivernage,Légumineuse,0,0,1007.5341911240856
599.6895147105346,500,2.5469081254535157,5,Latéritique,Aucune,Organique,Hivernage,Légumineuse,1,0,960.4931702635096
