pluie_moyenne,besoin_eau,superficie,mois_semis,sol_type,type_irrigation,type_engrais,saison,categorie_culture,sol_inadapte,deficit_hydrique,_rendement_reel
624.5071229516849,450,5.050485358529299,6,Deck-Dior,Aucune,Minéral NPK,Hivernage,Céréale,0,0,1098.7665746498
529.2603548243223,450,3.4546009329258003,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,0,933.96111934204
647.1532807151038,450,1.729278545722047,6,Latéritique,Aucune,Minéral NPK,Hivernage,Céréale,0,0,1551.1747663462136
778.4544784612037,450,0.9826036720647451,5,Deck,Aucune,Aucun,Hivernage,Céréale,0,0,1002.1763498893981
514.8769937914996,450,2.882271362624272,7,Deck-Dior,Aucune,Organique,Hivernage,Céréale,0,0,814.5796305954307
514.879456457623,450,2.2586974743125703,7,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,0,1188.150754113601
786.8819223261087,450,3.3741875722789345,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,0,1109.6500940178223
665.1152093729363,450,2.7404919315456224,7,Dior,Aucune,Minéral NPK,Hivernage,Céréale,0,0,1404.9948166572083
479.5788421097572,450,3.8176771901098734,6,Dior,Aucune,Organique,Hivernage,Céréale,0,0,1107.360136175626
631.3840065378947,450,1.074453145999699,6,Deck,Aucune,Minéral NPK,Hivernage,Céréale,0,0,1766.9005706135779
480.48734607813066,450,4.729952936751258,5,Dior,Aucune,Organique,Hivernage,Céréale,0,0,1327.7642342554168
480.1405369644615,450,1.9310804863512006,6,Deck,Goutte-à-goutte,Organique,Hivernage,Céréale,0,0,1076.391238259407
586.2943407349051,450,8.672947497267845,6,Latéritique,Aucune,Minéral Urée,Hivernage,Céréale,0,0,1243.5827489216729
263.00796330133034,450,0.9499458894611864,6,Deck,Aucune,Aucun,Hivernage,Céréale,0,1,634.485137078301
291.26232512304506,450,6.611238755160191,5,Dior,Aucune,Aucun,Hivernage,Céréale,0,1,644.9186234523974
465.6568706138541,450,1.9315612751940243,5,Latéritique,Aucune,Organique,Hivernage,Céréale,0,0,746.1593752535007
398.0753319498364,450,0.9790873635531291,6,Dior,Aucune,Aucun,Hivernage,Céréale,0,1,584.6652811150624
597.1370998892911,450,1.1195102722431323,6,Deck,Aucune,Aucun,Hivernage,Céréale,0,0,878.0764614495153
413.79638867181836,450,1.2759897518751566,6,Deck-Dior,Aspersion,Minéral NPK,Hivernage,Céréale,0,0,1753.7657626850344
338.1544447997063,450,2.3148219129356664,6,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,696.3972450362525
769.8473153382331,450,2.5049490385267714,7,Dior,Gravitaire,Organique,Hivernage,Céréale,0,0,826.592456817064
516.1335549270196,450,1.0418937771803294,7,Deck,Aucune,Mixte,Hivernage,Céréale,0,0,1395.3726785591032
560.1292307031886,450,1.6169090391876235,6,Latéritique,Aucune,Organique,Hivernage,Céréale,0,0,1168.279225719138
336.28777206798145,450,9.150571047377525,7,Dior,Aucune,Minéral Urée,Hivernage,Céréale,0,1,583.19889339179
468.3425913212226,450,6.5668517770734605,6,Dior,Aucune,Aucun,Hivernage,Céréale,0,0,1109.3595467503546
566.6383884564799,450,2.3374461295638054,6,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,0,1052.6748201440626
377.3509633866546,450,1.6996167467104637,6,Deck,Aucune,Minéral Urée,Hivernage,Céréale,0,1,630.7494208757364
606.3547027518508,450,1.8148903658002318,6,Deck-Dior,Aucune,Organique,Hivernage,Céréale,0,0,959.3027532897553
459.9041965121793,450,2.6934270476640427,7,Latéritique,Gravitaire,Minéral NPK,Hivernage,Céréale,0,0,1275.3200918322439
506.2459375310085,450,0.727432511338909,6,Deck,Goutte-à-goutte,Organique,Hivernage,Céréale,0,0,998.1245734634952
459.74400816559046,450,1.3419164382905386,6,Latéritique,Aucune,Aucun,Hivernage,Céréale,0,0,1106.4028771682977
827.8417276763407,450,0.5,6,Dior,Aucune,Organique,Hivernage,Céréale,0,0,1002.9187383278324
547.9754162893099,450,2.26908915594967,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,0,979.2231633089164
391.34336065661495,450,2.7669807720659447,7,Sablonneux,Aucune,Minéral Urée,Hivernage,Céréale,0,1,561.8498961909883
673.3817368154783,450,1.120136810591102,6,Deck-Dior,Aucune,Aucun,Hivernage,Céréale,0,0,954.2216731778872
366.8734525043467,450,5.80772780347871,6,Sablonneux,Aucune,Mixte,Hivernage,Céréale,0,1,971.9108861055055
581.3295392507133,450,0.6184044842245391,6,Dior,Aucune,Mixte,Hivernage,Céréale,0,0,1329.5987428077144
256.0494814180337,450,0.5109416392689148,6,Deck-Dior,Aucune,Aucun,Hivernage,Céréale,0,1,479.3041758028588
350.7720926652354,450,1.973012287502458,5,Deck,Gravitaire,Organique,Hivernage,Céréale,0,0,1333.8573195972313
579.5291853803685,450,3.810188420402678,6,Sablonneux,Aucune,Minéral Urée,Hivernage,Céréale,0,0,969.2685004202924
660.7699869993115,450,6.34167007903379,6,Deck-Dior,Gravitaire,Mixte,Hivernage,Céréale,0,0,1687.9117581142598
575.7052421784956,450,1.142127315510253,6,Dior,Aucune,Organique,Hivernage,Céréale,0,0,1241.1367459599264
532.652757641764,450,3.90768320130327,7,Latéritique,Aucune,Organique,Hivernage,Céréale,0,0,996.915916397424
504.83444566160665,450,1.5987038775088283,7,Latéritique,Aucune,Organique,Hivernage,Céréale,0,0,1043.3775509678087
