pluie_moyenne,besoin_eau,superficie,mois_semis,sol_type,type_irrigation,type_engrais,saison,categorie_culture,sol_inadapte,deficit_hydrique,_rendement_reel
624.5071229516849,1000,5.050485358529299,6,Deck-Dior,Aucune,Minéral NPK,Hivernage,Céréale,0,1,1648.1498619747
529.2603548243223,1000,3.4546009329258003,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1400.94167901306
647.1532807151038,1000,1.729278545722047,6,Latéritique,Aucune,Minéral NPK,Hivernage,Céréale,0,1,2326.7621495193202
778.4544784612037,1000,0.9826036720647451,5,Deck,Aucune,Aucun,Hivernage,Céréale,0,1,1503.264524834097
514.8769937914996,1000,2.882271362624272,7,Deck-Dior,Aucune,Organique,Hivernage,Céréale,0,1,1221.8694458931461
514.879456457623,1000,2.2586974743125703,7,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1782.2261311704015
786.8819223261087,1000,3.3741875722789345,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1664.4751410267334
665.1152093729363,1000,2.7404919315456224,7,Dior,Aucune,Minéral NPK,Hivernage,Céréale,1,1,1475.2445574900687
479.5788421097572,1000,3.8176771901098734,6,Dior,Aucune,Organique,Hivernage,Céréale,1,1,1162.7281429844072
631.3840065378947,1000,1.074453145999699,6,Deck,Aucune,Minéral NPK,Hivernage,Céréale,0,1,2650.350855920367
480.48734607813066,1000,4.729952936751258,5,Dior,Aucune,Organique,Hivernage,Céréale,1,1,1394.1524459681875
480.1405369644615,1000,1.9310804863512006,6,Deck,Goutte-à-goutte,Organique,Hivernage,Céréale,0,0,2690.978095648517
586.2943407349051,1000,8.672947497267845,6,Latéritique,Aucune,Minéral Urée,Hivernage,Céréale,0,1,1865.3741233825092
263.00796330133034,1000,0.9499458894611864,6,Deck,Aucune,Aucun,Hivernage,Céréale,0,1,1586.2128426957527
291.26232512304506,1000,6.611238755160191,5,Dior,Aucune,Aucun,Hivernage,Céréale,1,1,1128.6075910416955
465.6568706138541,1000,1.9315612751940243,5,Latéritique,Aucune,Organique,Hivernage,Céréale,0,1,1119.2390628802511
398.0753319498364,1000,0.9790873635531291,6,Dior,Aucune,Aucun,Hivernage,Céréale,1,1,1023.1642419513591
597.1370998892911,1000,1.1195102722431323,6,Deck,Aucune,Aucun,Hivernage,Céréale,0,1,1317.114692174273
413.79638867181836,1000,1.2759897518751566,6,Deck-Dior,Aspersion,Minéral NPK,Hivernage,Céréale,0,0,4384.414406712585
338.1544447997063,1000,2.3148219129356664,6,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1740.9931125906312
769.8473153382331,1000,2.5049490385267714,7,Dior,Gravitaire,Organique,Hivernage,Céréale,1,0,1446.536799429862
516.1335549270196,1000,1.0418937771803294,7,Deck,Aucune,Mixte,Hivernage,Céréale,0,1,2093.0590178386547
560.1292307031886,1000,1.6169090391876235,6,Latéritique,Aucune,Organique,Hivernage,Céréale,0,1,1752.4188385787068
336.28777206798145,1000,9.150571047377525,7,Dior,Aucune,Minéral Urée,Hivernage,Céréale,1,1,1020.5980634356325
468.3425913212226,1000,6.5668517770734605,6,Dior,Aucune,Aucun,Hivernage,Céréale,1,1,1164.8275240878725
566.6383884564799,1000,2.3374461295638054,6,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1579.012230216094
377.3509633866546,1000,1.6996167467104637,6,Deck,Aucune,Minéral Urée,Hivernage,Céréale,0,1,1576.873552189341
606.3547027518508,1000,1.8148903658002318,6,Deck-Dior,Aucune,Organique,Hivernage,Céréale,0,1,1438.954129934633
459.9041965121793,1000,2.6934270476640427,7,Latéritique,Gravitaire,Minéral NPK,Hivernage,Céréale,0,0,3188.30022958061
506.2459375310085,1000,0.727432511338909,6,Deck,Goutte-à-goutte,Organique,Hivernage,Céréale,0,0,2495.3114336587378
459.74400816559046,1000,1.3419164382905386,6,Latéritique,Aucune,Aucun,Hivernage,Céréale,0,1,1659.6043157524464
827.8417276763407,1000,0.5,6,Dior,Aucune,Organique,Hivernage,Céréale,1,1,1053.064675244224
547.9754162893099,1000,2.26908915594967,5,Sablonneux,Aucune,Organique,Hivernage,Céréale,0,1,1468.8347449633745
391.34336065661495,1000,2.7669807720659447,7,Sablonneux,Aucune,Minéral Urée,Hivernage,Céréale,0,1,1404.6247404774708
673.3817368154783,1000,1.120136810591102,6,Deck-Dior,Aucune,Aucun,Hivernage,Céréale,0,1,1431.3325097668308
366.8734525043467,1000,5.80772780347871,6,Sablonneux,Aucune,Mixte,Hivernage,Céréale,0,1,2429.777215263764
581.3295392507133,1000,0.6184044842245391,6,Dior,Aucune,Mixte,Hivernage,Céréale,1,1,1396.0786799481
256.0494814180337,1000,0.5109416392689148,6,Deck-Dior,Aucune,Aucun,Hivernage,Céréale,0,1,1198.260439507147
350.7720926652354,1000,1.973012287502458,5,Deck,Gravitaire,Organique,Hivernage,Céréale,0,0,3334.643298993078
579.5291853803685,1000,3.810188420402678,6,Sablonneux,Aucune,Minéral Urée,Hivernage,Céréale,0,1,1453.9027506304387
660.7699869993115,1000,6.34167007903379,6,Deck-Dior,Gravitaire,Mixte,Hivernage,Céréale,0,0,4219.779395285649
575.7052421784956,1000,1.142127315510253,6,Dior,Aucune,Organique,Hivernage,Céréale,1,1,1303.193583257923
532.652757641764,1000,3.90768320130327,7,Latéritique,Aucune,Organique,Hivernage,Céréale,0,1,1495.373874596136
